,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
43,Beipiao,95,CN,1573948903,36,41.8,120.76,30.49,4.56
44,Nikolskoye,90,RU,1573948904,93,59.7,30.79,37.4,6.71
45,Salinopolis,14,BR,1573948905,78,-0.61,-47.36,81.91,18.88
46,Matamoros,1,US,1573948907,72,25.87,-97.51,68.0,5.82
47,Ahipara,38,NZ,1573948908,90,-35.17,173.16,72.0,17.34
48,Iqaluit,90,CA,1573948730,72,63.75,-68.52,15.8,17.22
49,Kiomboi,100,TZ,1573948910,60,-4.28,34.41,71.44,1.92
50,Bredasdorp,79,ZA,1573948799,82,-34.53,20.04,59.0,4.7
51,Namatanai,100,PG,1573948912,71,-3.66,152.44,82.24,3.58
52,Sao Joao da Barra,96,BR,1573948913,81,-21.64,-41.05,72.14,7.83
53,Jalu,85,LY,1573948913,55,29.03,21.55,61.18,12.12
54,Codrington,90,AU,1573948845,57,-28.95,153.24,78.8,2.86
55,Chuy,97,UY,1573948846,81,-33.69,-53.46,68.77,4.92
56,Cherskiy,67,RU,1573948918,100,68.75,161.3,-8.68,1.95
57,Victoria,75,BN,1573948895,94,5.28,115.24,78.8,1.66
58,Mbanza-Ngungu,100,CD,1573948920,97,-5.25,14.87,64.99,6.06
59,Tiksi,100,RU,1573948898,97,71.64,128.87,-2.78,4.16
60,Lebu,20,ET,1573948923,58,8.96,38.73,57.2,9.17
61,Busayra,0,JO,1573948924,73,30.74,35.61,53.8,11.36
62,Qaqortoq,100,GL,1573948925,43,60.72,-46.03,33.8,25.28
63,Yoshida,75,JP,1573948926,60,40.03,140.4,42.8,18.34
64,Caarapo,0,BR,1573948928,53,-22.63,-54.82,72.19,5.44
65,Bambous Virieux,75,MU,1573948929,83,-20.34,57.76,75.2,12.75
66,Rio Gallegos,40,AR,1573948930,30,-51.62,-69.22,59.0,25.28
67,Cockburn Town,0,TC,1573948670,70,21.46,-71.14,81.72,8.81
68,Ereymentau,52,KZ,1573948932,82,51.62,73.1,14.22,15.14
69,Khatanga,48,RU,1573948934,90,71.98,102.47,-13.16,1.61
70,Saint-Pierre,75,FR,1573948935,100,48.95,4.24,37.99,6.93
71,Ternate,20,PH,1573948936,88,14.29,120.72,82.0,2.24
72,Hobart,40,AU,1573948818,35,-42.88,147.33,61.0,14.99
73,Praya,75,ID,1573948939,83,-8.71,116.27,82.4,2.24
74,Kapaa,90,US,1573948940,66,22.08,-159.32,84.2,5.82
75,Inongo,100,CD,1573948941,99,-1.93,18.29,69.94,3.51
76,Melfi,5,IT,1573948942,61,41.0,15.66,59.0,6.93
77,Olean,1,US,1573948944,35,42.08,-78.43,28.4,4.7
78,Havelock,90,US,1573948754,87,34.88,-76.9,53.6,29.97
79,Tuktoyaktuk,75,CA,1573948785,76,69.44,-133.03,-7.6,10.29
80,Bluff,0,AU,1573948947,26,-23.58,149.07,90.21,13.42
81,Vrangel,14,RU,1573948949,50,42.73,133.08,28.65,14.23
82,Thompson,90,CA,1573948800,78,55.74,-97.86,17.6,4.7
83,Torbay,40,CA,1573948831,54,47.66,-52.73,30.99,25.28
84,Miandrivazo,69,MG,1573948914,75,-19.53,45.46,77.97,2.68
85,Amapa,75,HN,1573948954,78,15.09,-87.97,78.8,9.17
86,Dekar,11,BW,1573948955,14,-21.53,21.93,77.99,6.04
87,Ankazoabo,100,MG,1573948956,91,-22.29,44.51,68.49,11.68
88,Katsuura,75,JP,1573948958,71,33.93,134.5,55.99,3.36
89,Balkanabat,0,TM,1573948959,48,39.51,54.36,38.25,7.36
90,Kodiak,1,US,1573948960,45,39.95,-94.76,52.0,11.41
91,Turukhansk,75,RU,1573948961,81,65.8,87.96,-18.04,8.61
92,Pisco,11,PE,1573948962,93,-13.71,-76.2,64.0,8.99
93,Kangaba,95,ML,1573948963,26,11.94,-8.41,81.46,2.13
94,Dingzhou,86,CN,1573948965,87,38.51,115.0,42.8,2.24
95,Saint George,40,GR,1573948966,93,39.45,22.34,53.6,0.51
96,Cooma,75,AU,1573948967,54,-36.24,149.13,53.6,9.17
97,Carballo,75,ES,1573948968,87,43.21,-8.69,54.0,14.99
98,Nipawin,90,CA,1573948969,86,53.36,-104.02,28.4,9.17
99,Ko Samui,20,TH,1573948970,88,9.54,99.94,78.8,8.55
100,Komsomolskiy,95,RU,1573948972,96,67.55,63.78,15.04,1.52
101,Ilebo,100,CD,1573948973,98,-4.33,20.59,68.67,3.09
102,Phalaborwa,37,ZA,1573948974,77,-23.95,31.14,68.0,8.05
103,Hami,0,CN,1573948901,29,42.84,93.51,12.87,3.53
104,Albanel,20,CA,1573948976,66,48.88,-72.44,16.0,5.82
105,Arraial do Cabo,0,BR,1573948798,84,-22.97,-42.02,71.64,7.56
106,Longyearbyen,75,NO,1573948910,97,78.22,15.63,32.0,9.17
107,Itapuranga,90,BR,1573948980,72,-15.56,-49.95,75.2,2.06
108,Orleans,24,BR,1573948981,91,-28.36,-49.29,55.8,1.79
109,Punta Arenas,84,CL,1573948900,50,-53.16,-70.91,53.6,16.11
110,Salalah,40,OM,1573948983,54,17.01,54.1,78.8,3.36
111,Hilo,90,US,1573948796,78,19.71,-155.08,82.0,6.93
112,Quatre Cocos,75,MU,1573948986,83,-20.21,57.76,75.2,12.75
113,Airai,52,TL,1573948837,21,-8.93,125.41,83.52,8.12
114,Klaksvik,100,FO,1573948820,86,62.23,-6.59,37.4,8.05
115,Ajaccio,100,FR,1573948989,93,41.93,8.74,50.0,5.82
116,Saldanha,92,PT,1573948990,89,41.42,-6.55,38.19,4.7
117,Nyurba,100,RU,1573948991,95,63.29,118.35,-6.14,6.87
118,Hermanus,33,ZA,1573948993,94,-34.42,19.24,59.0,13.42
119,Mujiayingzi,98,CN,1573948994,82,42.12,118.78,33.26,5.32
120,Ayapel,94,CO,1573948995,90,8.31,-75.14,78.33,5.64
121,Fortuna,1,US,1573948996,87,40.6,-124.16,59.0,9.17
122,Suez,0,EG,1573948998,80,29.97,32.54,64.33,4.97
123,Suhbaatar,100,MN,1573948999,95,50.23,106.21,-5.48,7.45
124,Guerrero Negro,3,MX,1573948894,75,27.97,-114.04,67.28,11.86
125,Port Lincoln,71,AU,1573949001,57,-34.72,135.86,59.32,9.53
126,Talnakh,0,RU,1573949002,70,69.49,88.39,-5.8,6.71
127,Grand-Lahou,60,CI,1573949004,78,5.24,-5.0,82.47,7.78
128,Plettenberg Bay,100,ZA,1573949005,93,-34.05,23.37,59.76,11.56
129,Basoko,100,CD,1573949006,98,1.23,23.61,71.11,2.91
130,Bilma,16,NE,1573949007,25,18.69,12.92,71.82,1.63
131,Blythe,1,US,1573949009,17,33.61,-114.59,84.0,3.36
132,Gillette,20,US,1573949010,71,44.29,-105.5,42.8,16.11
133,Avera,90,US,1573948897,81,33.19,-82.53,51.8,8.05
134,Bireun,100,ID,1573949012,88,5.2,96.7,68.29,1.99
135,Meadow Lake,90,CA,1573948809,86,54.13,-108.44,33.8,10.29
136,Yerbogachen,0,RU,1573949015,96,61.28,108.01,-27.67,5.55
137,Beroroha,86,MG,1573949016,91,-21.68,45.17,69.96,2.17
138,Kpandu,52,GH,1573949017,81,7.0,0.29,73.69,2.51
139,Dukat,56,AL,1573949018,75,40.25,19.57,61.0,1.01
140,Myaundzha,83,RU,1573949019,87,63.05,147.18,-10.64,4.54
141,Balsas,30,BR,1573949020,73,-7.53,-46.04,79.3,5.97
142,Constitucion,75,MX,1573949022,35,23.99,-104.67,71.6,3.36
143,Saint-Philippe,0,CA,1573949024,66,45.36,-73.48,19.4,3.04
144,Alice Springs,0,AU,1573948863,11,-23.7,133.88,82.4,9.17
145,Mwingi,7,KE,1573949026,85,-0.93,38.07,65.59,2.39
146,Shinjo,75,JP,1573949028,75,38.77,140.31,50.0,8.05
147,Sandpoint,90,US,1573949029,80,48.28,-116.55,44.6,4.7
148,Aransas Pass,1,US,1573949030,82,27.91,-97.15,60.01,8.05
149,Petatlan,40,MX,1573949031,66,17.52,-101.27,87.8,10.29
150,Norman Wells,90,CA,1573948898,76,65.28,-126.83,-5.8,4.7
151,Tieling,100,CN,1573949034,54,42.29,123.84,32.74,5.88
152,Ribeira Grande,63,PT,1573948897,72,38.52,-28.7,59.59,7.52
153,Artyom,2,RU,1573949036,66,43.36,132.19,15.8,4.72
154,Praia da Vitoria,50,PT,1573948846,87,38.73,-27.07,59.0,9.33
155,Pangnirtung,8,CA,1573949038,74,66.15,-65.72,6.87,4.05
156,Pilar do Sul,54,BR,1573948898,99,-23.81,-47.72,57.16,2.3
157,Zyryanka,100,RU,1573949041,95,65.73,150.89,-2.27,13.04
158,Meulaboh,100,ID,1573948827,89,4.14,96.13,76.06,7.4
159,Kidal,51,ML,1573949043,12,18.44,1.41,70.65,6.38
160,Celestun,83,MX,1573949044,63,20.87,-90.4,73.6,16.33
161,Faanui,0,PF,1573949045,82,-16.48,-151.75,80.11,14.36
162,East London,15,ZA,1573948824,78,-33.02,27.91,66.31,4.68
163,Panguna,90,PG,1573949048,57,-6.32,155.48,87.06,0.72
164,Tubuala,75,PA,1573949049,94,9.52,-79.03,77.0,5.82
165,Barra do Garcas,91,BR,1573949050,76,-15.89,-52.26,77.13,3.38
166,Guanica,1,PR,1573949051,83,17.97,-66.91,82.0,6.93
167,Goderich,92,CA,1573948817,82,43.74,-81.71,25.0,15.99
168,Mahebourg,75,MU,1573949054,83,-20.41,57.7,75.99,12.75
169,Portland,1,US,1573948858,35,43.66,-70.25,27.0,6.93
170,Matay,9,EG,1573949056,91,28.42,30.79,60.21,9.01
171,Boddam,100,GB,1573949057,93,57.47,-1.78,41.0,2.24
172,Maniitsoq,60,GL,1573949058,55,65.42,-52.9,24.58,10.45
173,Kavaratti,94,IN,1573949059,74,10.57,72.64,82.54,6.58
174,New Norfolk,40,AU,1573948797,35,-42.78,147.06,61.0,14.99
175,Killam,27,CA,1573949062,78,52.79,-111.86,35.01,3.0
176,Grand Gaube,75,MU,1573948803,83,-20.01,57.66,75.2,12.75
177,Port Hardy,90,CA,1573948885,100,50.7,-127.42,48.2,21.92
178,Havoysund,1,NO,1573949065,68,71.0,24.66,30.2,13.87
179,Syava,100,RU,1573949067,98,58.01,46.32,32.43,4.92
180,Geraldton,90,CA,1573949068,84,49.72,-86.95,32.0,16.11
181,Richards Bay,53,ZA,1573949069,72,-28.77,32.06,70.39,6.42
182,Luebo,100,CD,1573949070,99,-5.35,21.42,69.6,2.15
183,Woodward,1,US,1573949072,48,36.43,-99.39,62.6,13.87
184,Butaritari,100,KI,1573949073,79,3.07,172.79,81.27,12.55
185,Port Blair,20,IN,1573949074,76,11.67,92.75,82.27,10.16
186,Fairbanks,90,US,1573948816,77,64.84,-147.72,9.0,3.36
187,Yichang,83,CN,1573949076,72,30.77,111.32,55.96,3.27
188,Castro,90,CL,1573948816,100,-42.48,-73.76,51.8,20.8
189,College,90,US,1573949079,77,64.86,-147.8,9.0,3.36
190,Nicholasville,1,US,1573949080,64,37.88,-84.57,41.0,5.82
191,Goundam,96,ML,1573949081,18,16.42,-3.66,78.06,6.55
192,Nemuro,40,JP,1573948844,54,43.32,145.57,28.4,12.75
193,Tasiilaq,94,GL,1573948901,86,65.61,-37.64,26.6,8.05
194,Grindavik,40,IS,1573948900,69,63.84,-22.43,35.6,13.87
195,Lexington,1,US,1573949086,74,38.05,-84.5,41.0,5.82
196,Carnarvon,0,ZA,1573948905,74,-30.97,22.13,59.27,13.49
197,Port Elizabeth,90,US,1573949088,37,39.31,-74.98,45.0,10.29
198,Ilulissat,40,GL,1573949089,52,69.22,-51.1,19.4,31.09
199,Hithadhoo,100,MV,1573949090,77,-0.6,73.08,81.41,12.19
200,Picota,75,PE,1573949092,100,-6.92,-76.33,62.6,1.54
201,Lavrentiya,25,RU,1573948818,79,65.58,-170.99,23.59,17.0
202,Sendai,20,JP,1573948817,40,38.27,140.87,53.6,25.28
203,Garowe,0,SO,1573949095,71,8.41,48.48,72.66,9.69
204,Phangnga,20,TH,1573949096,88,8.45,98.53,75.2,2.71
205,Lyngseidet,0,NO,1573949099,92,69.58,20.21,21.0,25.28
206,Kawalu,38,ID,1573949100,78,-7.38,108.21,72.99,3.76
207,Wonthaggi,86,AU,1573949101,79,-38.6,145.59,60.01,8.75
208,Bathsheba,20,BB,1573949102,88,13.22,-59.52,77.0,5.82
209,Shimla,0,IN,1573949104,41,31.1,77.17,56.88,6.24
210,Souillac,90,FR,1573949105,100,45.6,-0.6,42.01,2.24
211,Nanga Eboko,99,CM,1573949106,92,4.68,12.37,68.61,3.09
212,Japura,44,ID,1573949107,97,-0.42,102.29,74.26,1.59
213,Mount Gambier,90,AU,1573948821,71,-37.83,140.78,55.4,8.05
214,Qaanaaq,100,GL,1573949109,95,77.48,-69.36,7.07,6.33
215,Pekan,20,MY,1573949111,94,3.49,103.39,75.2,1.12
216,Ardon,0,RU,1573949112,92,43.18,44.31,26.6,2.24
217,Saint-Leu,100,RE,1573949113,78,-21.15,55.28,73.4,5.82
218,Ossora,100,RU,1573949114,88,59.24,163.07,23.56,21.77
219,Kavieng,94,PG,1573949115,76,-2.57,150.8,83.07,11.7
220,Barrow,33,AR,1573949116,65,-38.31,-60.23,60.08,8.34
221,Anadyr,20,RU,1573949118,79,64.73,177.51,19.4,11.18
222,Daru,30,PG,1573948911,83,-9.07,143.21,82.06,8.1
223,Padang,100,ID,1573949120,87,-0.92,100.36,67.42,3.0
224,Bad Gandersheim,17,DE,1573949121,86,51.87,10.03,39.99,5.82
225,Ambunti,100,PG,1573949122,96,-4.22,142.82,76.15,0.72
226,Redlands,1,US,1573949124,22,34.06,-117.19,91.4,5.82
227,Kahului,20,US,1573949125,83,20.89,-156.47,86.0,11.41
228,Marzuq,0,YE,1573949126,77,14.4,46.47,63.41,5.59
229,Vostok,93,RU,1573949127,83,46.45,135.83,3.69,5.59
230,Hasaki,20,JP,1573949128,71,35.73,140.83,55.4,6.93
231,Kewanee,1,US,1573949130,80,41.25,-89.92,37.99,3.36
232,Kanigoro,60,ID,1573949131,76,-8.13,112.22,78.87,7.83
233,Duldurga,100,RU,1573949132,43,50.67,113.59,3.85,11.03
234,Langsa,100,ID,1573949133,88,4.47,97.97,77.07,1.23
235,Fukue,75,JP,1573949134,67,35.03,136.69,60.8,13.87
236,Aksu,75,KZ,1573949136,58,52.04,76.93,24.8,11.18
237,Saint-Augustin,20,CA,1573948897,56,45.63,-73.98,19.4,4.7
238,Westport,1,US,1573949133,22,41.14,-73.36,37.99,11.41
239,Harper,1,US,1573949139,47,30.3,-99.24,59.0,3.36
240,Oktyabrskoye,40,RU,1573948903,77,56.73,85.44,5.0,20.13
241,Kirakira,97,SB,1573949141,74,-10.46,161.92,82.6,6.51
242,Bethel,20,US,1573948905,66,60.79,-161.76,12.2,17.22
243,Hay River,75,CA,1573949144,78,60.82,-115.79,8.6,2.24
244,Ponta do Sol,31,BR,1573949145,80,-20.63,-46.0,68.95,4.34
245,Sao Filipe,92,CV,1573948896,80,14.9,-24.5,72.7,15.39
246,Fort Nelson,90,CA,1573949147,84,58.81,-122.69,5.0,8.05
247,Lachhmangarh,0,IN,1573949149,63,27.82,75.03,66.2,5.12
248,Mount Isa,17,AU,1573948898,9,-20.73,139.49,91.4,18.34
249,Riyadh,28,SA,1573949151,55,24.63,46.72,60.8,3.36
250,Redmond,90,US,1573949120,81,47.67,-122.12,53.01,8.05
251,Bajil,0,ES,1573949154,77,38.23,-2.07,34.0,11.01
252,Gatesville,1,US,1573949155,47,31.44,-97.74,59.0,3.36
253,Kalianget,20,ID,1573949156,83,-7.35,109.91,84.99,1.12
254,Cidreira,0,BR,1573948902,64,-30.17,-50.22,69.04,7.96
255,Saint-Francois,75,FR,1573949159,93,46.42,3.91,37.4,4.7
256,Gboko,97,NG,1573949160,69,7.32,9.0,78.78,5.59
257,Tezu,25,IN,1573949161,66,27.93,96.16,64.18,2.33
258,Batagay-Alyta,100,RU,1573949162,97,67.8,130.41,-4.23,3.96
259,Belmonte,34,PT,1573948900,98,40.36,-7.35,46.0,3.58
260,Tilichiki,100,RU,1573949164,75,60.47,166.1,7.68,9.66
261,Milkovo,20,BG,1573949166,93,41.53,24.68,51.8,2.24
262,Griffith,8,AU,1573949167,44,-34.29,146.06,64.99,13.87
263,Turka,100,RU,1573949168,92,52.95,108.22,10.15,16.55
264,Puerto Colombia,40,CO,1573949080,78,10.99,-74.96,82.4,9.17
265,Ovre Ardal,96,NO,1573949170,93,61.32,7.8,23.32,2.53
266,Puerto del Rosario,40,ES,1573949173,68,28.5,-13.86,66.2,23.04
267,Izumo,75,JP,1573949174,81,35.37,132.75,53.6,5.82
268,Narsaq,100,GL,1573949175,43,60.91,-46.05,33.8,25.28
269,Kaitangata,47,NZ,1573949176,34,-46.28,169.85,66.0,11.01
270,Cayenne,2,GF,1573949178,83,4.94,-52.33,80.6,3.36
271,Lagoa,2,PT,1573949179,76,37.14,-8.45,51.01,8.05
272,Laguna,75,BZ,1573949180,88,16.17,-88.94,78.8,1.07
273,Villarrubia de los Ojos,1,ES,1573949181,80,39.22,-3.61,39.99,4.0
274,Beloha,29,MG,1573949182,83,-25.17,45.06,72.28,14.27
275,Timmins,90,CA,1573949184,73,48.48,-81.33,19.4,6.93
276,Sola,70,TZ,1573949185,78,-3.17,33.8,69.17,5.66
277,Sri Aman,100,MY,1573949186,100,1.24,111.46,75.2,0.74
278,Ulladulla,75,AU,1573949187,72,-35.36,150.48,64.4,12.75
279,Comodoro Rivadavia,40,AR,1573949188,18,-45.87,-67.48,71.6,25.28
280,Jinchang,100,CN,1573949190,62,38.52,102.19,17.19,14.18
281,Conway,1,US,1573948992,61,35.09,-92.44,50.0,2.84
282,Faya,63,SA,1573949192,71,18.39,42.45,55.4,3.53
283,Naze,100,NG,1573949193,95,5.43,7.07,74.8,3.49
284,Karratha,0,AU,1573949195,52,-20.74,116.85,83.77,6.15
285,Dunmore East,100,IE,1573949196,94,52.15,-6.99,37.0,12.82
286,Yen Bai,96,VN,1573949194,92,21.7,104.87,71.69,0.76
287,Mamlyutka,99,KZ,1573949198,95,54.94,68.54,28.51,13.09
288,Karpathos,64,GR,1573949199,67,35.51,27.21,67.3,1.99
289,Mar del Plata,100,AR,1573949200,29,-46.43,-67.52,65.61,21.18
290,Luderitz,13,NA,1573949202,72,-26.65,15.16,64.4,21.92
291,Ayan,29,IR,1573949203,89,38.23,44.7,21.34,0.76
292,Lincoln,75,GB,1573949204,100,53.23,-0.54,46.4,3.36
293,Kincardine,54,CA,1573949205,80,44.18,-81.63,23.0,5.01
294,Wakkanai,75,JP,1573949206,63,45.41,141.67,28.4,32.21
295,Vila Franca do Campo,75,PT,1573949207,71,37.72,-25.43,57.2,5.82
296,Winneba,75,GH,1573949209,88,5.35,-0.62,82.4,8.05
297,Beringovskiy,100,RU,1573949210,75,63.05,179.32,29.59,15.66
298,Challapata,56,BO,1573949211,45,-18.9,-66.78,55.94,14.14
299,Ostrovnoy,93,RU,1573949212,95,68.05,39.51,22.19,6.22
300,Benguela,71,AO,1573949213,81,-12.58,13.4,75.63,3.29
301,Hambantota,75,LK,1573949215,85,6.12,81.12,78.42,7.07
302,Provideniya,100,RU,1573949216,88,64.42,-173.23,19.49,11.45
303,Mulchen,0,CL,1573949217,56,-37.72,-72.23,54.88,4.9
304,Texarkana,1,US,1573949218,37,33.44,-94.04,51.8,2.98
305,Severnoye,67,RU,1573949219,82,54.09,52.54,28.71,11.1
306,Samana,90,EC,1573949221,100,0.12,-76.97,77.0,2.24
307,Katangli,100,RU,1573949222,84,51.71,143.23,31.03,11.05
308,Hoquiam,90,US,1573949223,100,46.98,-123.89,54.0,5.82
309,Nome,1,US,1573949224,62,30.04,-94.42,53.01,0.76
310,Alofi,70,NU,1573949225,69,-19.06,-169.92,80.6,10.29
311,Am Timan,12,TD,1573949227,26,11.04,20.28,73.04,2.46
312,Xian,90,ES,1573949228,100,42.76,-8.49,54.0,8.05
313,Kailua,75,US,1573949229,74,21.39,-157.74,84.2,9.04
314,Shiraz,20,IR,1573949230,60,29.61,52.54,39.2,1.5
315,Bundaberg,37,AU,1573949231,58,-24.87,152.35,84.2,12.75
316,Digha,0,IN,1573949233,71,21.62,87.51,75.65,8.48
317,Ust-Maya,100,RU,1573949234,97,60.42,134.54,-16.44,3.58
318,Waterfoot,90,GB,1573949235,100,53.69,-2.25,46.99,1.12
319,Ancud,90,CL,1573949236,100,-41.87,-73.83,51.8,20.8
320,Regidor,68,CO,1573949238,92,8.67,-73.82,75.63,2.59
321,Cananea,40,MX,1573949239,45,30.98,-110.3,73.4,6.93
322,Spring Hill,90,US,1573949240,76,28.46,-82.54,57.2,11.41
323,Ushirombo,19,TZ,1573949241,82,-3.47,31.9,65.73,0.87
324,Menongue,100,AO,1573949242,78,-14.66,17.68,68.02,4.34
325,Chicama,90,PE,1573949243,82,-7.84,-79.15,66.2,9.17
326,Sao Jose da Coroa Grande,20,BR,1573949245,76,-8.9,-35.15,79.48,18.9
327,Minas de Barroteran,83,MX,1573949247,63,27.63,-101.28,59.88,4.14
328,Coffs Harbour,75,AU,1573949248,64,-30.3,153.13,77.0,9.17
329,Hirara,75,JP,1573949249,78,24.8,125.28,75.2,11.41
330,Abha,17,SA,1573949251,71,18.22,42.5,55.4,1.25
331,Baherden,41,TM,1573949252,47,38.44,57.43,37.89,4.45
332,Nizwa,100,OM,1573949253,56,22.93,57.53,60.94,0.31
333,Hofn,58,IS,1573949254,54,64.25,-15.21,39.56,8.61
334,Okhotsk,96,RU,1573949255,73,59.36,143.24,13.37,17.05
335,Shache,82,CN,1573949256,43,38.42,77.24,37.99,8.9
336,Zarkos,40,GR,1573949258,93,39.61,22.12,53.6,1.66
337,San Jose del Guaviare,95,CO,1573949259,95,2.57,-72.65,74.44,0.83
338,Siuna,33,NI,1573949260,93,13.73,-84.78,73.18,3.2
339,Srednekolymsk,100,RU,1573949262,96,67.46,153.71,2.95,6.38
340,Sloboda,100,UA,1573949263,80,48.46,24.82,46.63,2.39
341,Luganville,95,VU,1573949264,85,-15.51,167.18,76.77,7.92
342,Vila Velha,20,BR,1573949265,74,-3.71,-38.6,80.6,6.93
343,Wschowa,89,PL,1573948974,88,51.8,16.32,45.0,1.01
344,Drovyanaya,40,RU,1573949267,76,51.58,113.05,-5.8,2.24
345,Prince Rupert,90,CA,1573949174,87,54.32,-130.32,51.8,14.99
346,Conceicao do Almeida,0,BR,1573949270,86,-12.78,-39.17,74.34,3.83
347,Fernley,75,US,1573949053,28,39.61,-119.25,64.4,6.93
348,Kota Belud,75,MY,1573949272,78,6.35,116.43,82.0,5.82
349,Kuching,75,MY,1573949273,100,1.56,110.34,77.0,3.36
350,Marsh Harbour,59,BS,1573949114,72,26.54,-77.06,70.54,17.85
351,Hanmer Springs,34,NZ,1573949276,32,-42.52,172.83,65.57,6.44
352,Vardo,1,US,1573949277,31,39.62,-77.74,37.0,5.82
353,Nadym,100,RU,1573949278,96,65.53,72.51,-2.02,19.89
354,Manokwari,89,ID,1573949279,65,-0.87,134.08,80.38,3.33
355,Cururupu,71,BR,1573949280,89,-1.82,-44.87,73.71,2.66
356,Saint Anthony,1,US,1573949282,47,43.97,-111.68,50.0,6.33
357,Raisio,90,FI,1573949283,100,60.49,22.16,41.0,12.75
358,Wladyslawowo,33,PL,1573949284,86,54.79,18.4,44.01,9.17
359,Road Town,40,VG,1573949285,78,18.42,-64.62,82.4,6.93
360,Upernavik,100,GL,1573949248,63,72.79,-56.15,19.62,11.03
361,Turbat,50,PK,1573949288,25,26.0,63.05,66.69,10.2
362,Lingao,35,CN,1573949289,83,19.91,109.69,74.71,14.9
363,Quelimane,100,MZ,1573949290,94,-17.88,36.89,74.93,2.89
364,Baoying,100,CN,1573949291,64,33.24,119.31,61.38,4.88
365,Ahuimanu,75,US,1573949292,74,21.44,-157.84,84.2,6.29
366,Yarada,5,IN,1573949294,81,17.65,83.27,79.34,14.99
367,Donetsk,2,UA,1573949295,87,48.02,37.8,38.86,9.84
368,Songjianghe,100,CN,1573949296,60,42.18,127.48,26.13,5.68
369,Maraa,24,BR,1573949297,86,-1.83,-65.37,76.41,1.77
370,Castlebar,100,IE,1573949298,92,53.86,-9.3,48.99,7.0
371,Rechitsy,90,RU,1573949299,93,55.6,38.46,39.2,4.47
372,Tavda,100,RU,1573949301,97,58.04,65.27,31.53,6.58
373,Nuuk,20,GL,1573949302,58,64.17,-51.74,24.8,20.8
374,Ponta Delgada,75,PT,1573949303,71,37.73,-25.67,57.2,5.82
